,Name,Wage,Value,Difference
4340,T. Buffel,8000.0,800000.0,792000.0
4341,Xisco,8000.0,1900000.0,1892000.0
4342,Adeilson Gesser,9000.0,2500000.0,2491000.0
4343,Roderick Miranda,1000.0,2400000.0,2399000.0
4344,N. Besara,4000.0,2700000.0,2696000.0
4345,D. Zbozień,4000.0,1800000.0,1796000.0
4346,J. Cuero,2000.0,2200000.0,2198000.0
4347,R. Coly,15000.0,2800000.0,2785000.0
4348,K. Müller,7000.0,1800000.0,1793000.0
4349,R. Zozulya,7000.0,2400000.0,2393000.0
4350,R. Mphahlele,1000.0,1900000.0,1899000.0
4351,K. Lee,18000.0,2200000.0,2182000.0
4352,B. Koita,11000.0,2500000.0,2489000.0
4353,Heltinho Melo,10000.0,1200000.0,1190000.0
4354,Nascimentardo,14000.0,2200000.0,2186000.0
4355,P. Barrera,14000.0,2100000.0,2086000.0
4356,R. Pucino,3000.0,2200000.0,2197000.0
4357,Miguel Rodrigues,6000.0,2500000.0,2494000.0
4358,C. Pinares,6000.0,2700000.0,2694000.0
4359,A. Gonçalves,12000.0,1800000.0,1788000.0
4360,K. Musona,15000.0,2400000.0,2385000.0
4361,Tiago,8000.0,2900000.0,2892000.0
4362,N. Leiva,1000.0,3500000.0,3499000.0
4363,A. Schiavone,4000.0,3100000.0,3096000.0
4364,Manuel da Costa,14000.0,1400000.0,1386000.0
4365,S. Hierländer,14000.0,2500000.0,2486000.0
4366,Bruno Alves,16000.0,325000.0,309000.0
4367,J. Velázquez,13000.0,2300000.0,2287000.0
4368,M. Chanot,6000.0,2200000.0,2194000.0
4369,O. McBurnie,17000.0,3700000.0,3683000.0
4370,J. Onomah,33000.0,4200000.0,4167000.0
4371,M. Madl,10000.0,1800000.0,1790000.0
4372,Cucurella,27000.0,3400000.0,3373000.0
4373,C. Araujo,7000.0,270000.0,263000.0
4374,M. Hartmann,12000.0,1800000.0,1788000.0
4375,M. Spiranovic,5000.0,1800000.0,1795000.0
4376,Chong Te Se,4000.0,1200000.0,1196000.0
4377,M. Albornoz,18000.0,2000000.0,1982000.0
4378,A. Nukan,22000.0,2800000.0,2778000.0
4379,L. Szukała,13000.0,725000.0,712000.0
4380,E. Perlaza,3000.0,1800000.0,1797000.0
4381,M. Dal Hende,13000.0,2000000.0,1987000.0
4382,Emerson Avintes,11000.0,2500000.0,2489000.0
4383,Saberto Botelho,9000.0,1800000.0,1791000.0
4384,J. Dahlin,4000.0,1400000.0,1396000.0
4385,Martin Cordeia,17000.0,1200000.0,1183000.0
4386,A. Oukidja,4000.0,1800000.0,1796000.0
4387,B. Angulo,0.0,0.0,0.0
4388,S. Burchert,6000.0,1700000.0,1694000.0
4389,Nélson Monte,5000.0,2800000.0,2795000.0
4390,D. Rojas,6000.0,3200000.0,3194000.0
4391,Charles,4000.0,2400000.0,2396000.0
4392,H. Wolf,10000.0,4000000.0,3990000.0
4393,E. Videla,8000.0,2200000.0,2192000.0
4394,P. Ledesma,9000.0,725000.0,716000.0
4395,R. van Drongelen,4000.0,3600000.0,3596000.0
4396,F. Jensen,11000.0,3700000.0,3689000.0
4397,Artur,5000.0,2700000.0,2695000.0
4398,Edgar Costa,7000.0,2100000.0,2093000.0
4399,S. Martínez,7000.0,2500000.0,2493000.0
4400,D. Fisher,8000.0,2600000.0,2592000.0
4401,L. Clarke,10000.0,1500000.0,1490000.0
4402,T. Hubočan,23000.0,1400000.0,1377000.0
4403,Dani Castellano,7000.0,1700000.0,1693000.0
4404,Javi Castellano,7000.0,1800000.0,1793000.0
4405,P. Olkowski,8000.0,1900000.0,1892000.0
4406,M. Caligiuri,7000.0,725000.0,718000.0
4407,Marlion Rolim,18000.0,2500000.0,2482000.0
4408,D. Burn,25000.0,2400000.0,2375000.0
4409,S. Schwab,11000.0,2200000.0,2189000.0
4410,O. Aina,16000.0,3200000.0,3184000.0
4411,A. Mina,9000.0,2300000.0,2291000.0
4412,S. Guirassy,13000.0,3500000.0,3487000.0
4413,L. Paqarada,4000.0,2600000.0,2596000.0
4414,J. Sánchez,22000.0,1900000.0,1878000.0
4415,J. Wallace,9000.0,3000000.0,2991000.0
4416,Jota,8000.0,3000000.0,2992000.0
4417,Jesús Imaz,6000.0,2500000.0,2494000.0
4418,Dani Hernández,5000.0,1400000.0,1395000.0
4419,K. Diatta,7000.0,4400000.0,4393000.0
4420,X. Chavalerin,11000.0,2200000.0,2189000.0
4421,G. Tzavellas,9000.0,1800000.0,1791000.0
4422,O. Omoijuanfo,3000.0,3400000.0,3397000.0
4423,S. Dimitrievski,4000.0,2400000.0,2396000.0
4424,Eltildo Bessa,15000.0,1200000.0,1185000.0
4425,B. Marshall,18000.0,2500000.0,2482000.0
4426,N. Mendez-Laing,30000.0,2800000.0,2770000.0
4427,Álex Martínez,6000.0,2000000.0,1994000.0
4428,Z. Bakkali,11000.0,3200000.0,3189000.0
4429,G. Gimbert,6000.0,1900000.0,1894000.0
4430,M. Gajić,19000.0,2600000.0,2581000.0
4431,S. Aigner,6000.0,2200000.0,2194000.0
4432,P. Köpke,16000.0,3500000.0,3484000.0
4433,F. Klos,11000.0,2300000.0,2289000.0
4434,K. McLean,18000.0,2800000.0,2782000.0
4435,M. Olsson,17000.0,1700000.0,1683000.0
4436,C. Nyman,5000.0,3000000.0,2995000.0
4437,O. Estupiñán,6000.0,3600000.0,3594000.0
4438,B. Wright,23000.0,2500000.0,2477000.0
4439,J. Bednarek,22000.0,3200000.0,3178000.0
4440,L. Vibe,9000.0,2100000.0,2091000.0
4441,O. Jiménez,27000.0,1600000.0,1573000.0
4442,Alejandro Rodríguez,12000.0,2600000.0,2588000.0
4443,T. Elphick,12000.0,1800000.0,1788000.0
4444,David Ferreiro,15000.0,2200000.0,2185000.0
4445,M. Gobbi,16000.0,270000.0,254000.0
4446,R. Insigne,31000.0,3100000.0,3069000.0
4447,N. Gyömbér,3000.0,2500000.0,2497000.0
4448,Túlio Sandoiro,12000.0,1200000.0,1188000.0
4449,Hélder Barbosa,13000.0,2100000.0,2087000.0
4450,B. Sako,21000.0,2200000.0,2179000.0
4451,M. Domizzi,3000.0,325000.0,322000.0
4452,P. Oniangué,14000.0,1800000.0,1786000.0
4453,P. Onuachu,14000.0,3400000.0,3386000.0
4454,F. Balmont,7000.0,750000.0,743000.0
4455,Antoñito,12000.0,1700000.0,1688000.0
4456,A. Baby,9000.0,2300000.0,2291000.0
4457,B. Petković,1000.0,3200000.0,3199000.0
4458,Nélson Lenho,8000.0,675000.0,667000.0
4459,Gumbau,14000.0,2800000.0,2786000.0
4460,C. Aboagye,12000.0,3200000.0,3188000.0
4461,Y. Erdoğan,11000.0,2800000.0,2789000.0
4462,Paulinho,3000.0,1900000.0,1897000.0
4463,J. Cooper,8000.0,2600000.0,2592000.0
4464,S. Malone,24000.0,2200000.0,2176000.0
4465,M. Maloča,7000.0,1800000.0,1793000.0
4466,G. Berardi,25000.0,1800000.0,1775000.0
4467,Samu García,15000.0,2400000.0,2385000.0
4468,T. Derijck,12000.0,1600000.0,1588000.0
4469,A. Khalili,10000.0,2900000.0,2890000.0
4470,Y. Endo,6000.0,325000.0,319000.0
4471,E. Kaçe,1000.0,3000000.0,2999000.0
4472,D. Machado,11000.0,2600000.0,2589000.0
4473,S. Plavšić,1000.0,3200000.0,3199000.0
4474,H. Reed,22000.0,2800000.0,2778000.0
4475,S. Klaiber,9000.0,2500000.0,2491000.0
4476,J. Boga,21000.0,3800000.0,3779000.0
4477,D. Contento,18000.0,1900000.0,1882000.0
4478,S. Padoin,18000.0,675000.0,657000.0
4479,D. Foulquier,27000.0,2600000.0,2573000.0
4480,Paco Montañés,7000.0,2100000.0,2093000.0
4481,T. Dingomé,11000.0,2200000.0,2189000.0
4482,D. Kądzior,1000.0,2800000.0,2799000.0
4483,E. Taşdemir,9000.0,2800000.0,2791000.0
4484,P. Coutts,10000.0,2300000.0,2290000.0
4485,D. Dumić,11000.0,2500000.0,2489000.0
4486,Juan Carlos,5000.0,1500000.0,1495000.0
4487,S. Privat,6000.0,2400000.0,2394000.0
4488,G. Montiel,9000.0,3200000.0,3191000.0
4489,João Gamboa,5000.0,3000000.0,2995000.0
4490,A. Zhirov,5000.0,2400000.0,2395000.0
4491,M. Tosetti,10000.0,2800000.0,2790000.0
4492,André Milazisco,7000.0,950000.0,943000.0
4493,M. Colin,17000.0,2300000.0,2283000.0
4494,F. Jozefzoon,29000.0,2500000.0,2471000.0
4495,D. Moor,5000.0,725000.0,720000.0
4496,A. Turan,11000.0,725000.0,714000.0
4497,O. Bayram,29000.0,2300000.0,2271000.0
4498,S. Bossut,8000.0,1400000.0,1392000.0
4499,J. Irvine,17000.0,3100000.0,3083000.0
4500,D. Biraschi,9000.0,2800000.0,2791000.0
4501,A. Bouchalakis,1000.0,2800000.0,2799000.0
4502,A. Voglsammer,11000.0,2900000.0,2889000.0
4503,Son Jun Ho,8000.0,2900000.0,2892000.0
4504,A. El Said,23000.0,1800000.0,1777000.0
4505,A. Yiadom,20000.0,2300000.0,2280000.0
4506,W. Sobota,12000.0,2100000.0,2088000.0
4507,I. Latovlevici,11000.0,1300000.0,1289000.0
4508,B. Leal,2000.0,750000.0,748000.0
4509,E. Zelazny,11000.0,2100000.0,2089000.0
4510,A. Brignoli,2000.0,2000000.0,1998000.0
4511,K. Narey,9000.0,3000000.0,2991000.0
4512,M. Pugh,35000.0,2100000.0,2065000.0
4513,S. McTominay,43000.0,3800000.0,3757000.0
4514,Fabrício Baiano,7000.0,2500000.0,2493000.0
4515,F. Navarro,18000.0,1800000.0,1782000.0
4516,R. Bajić,16000.0,3200000.0,3184000.0
4517,M. Le Bihan,22000.0,2400000.0,2378000.0
4518,A. Rentería,8000.0,3100000.0,3092000.0
4519,A. Leya Iseka,15000.0,3400000.0,3385000.0
4520,André Moreira,17000.0,2800000.0,2783000.0
4521,C. Gülselam,9000.0,1800000.0,1791000.0
4522,M. Rodríguez,8000.0,1300000.0,1292000.0
4523,G. Litteri,4000.0,2300000.0,2296000.0
4524,Raphael Rossi,18000.0,2200000.0,2182000.0
4525,B. Kamara,6000.0,2400000.0,2394000.0
4526,R. Oshima,6000.0,2400000.0,2394000.0
4527,L. Bruins,5000.0,2100000.0,2095000.0
4528,N. Kebano,35000.0,2800000.0,2765000.0
4529,Wiliam Santinho,13000.0,950000.0,937000.0
4530,L. Sadiku,9000.0,2400000.0,2391000.0
4531,Y. Barbet,23000.0,2400000.0,2377000.0
4532,Javi Moyano,12000.0,1300000.0,1288000.0
4533,J. McLaughlin,8000.0,1800000.0,1792000.0
4534,M. Büchel,10000.0,2400000.0,2390000.0
4535,B. Oviedo,9000.0,1900000.0,1891000.0
4536,J. Osorio,6000.0,2900000.0,2894000.0
4537,Wagner Orsinho,16000.0,1700000.0,1684000.0
4538,J. Elías,8000.0,2800000.0,2792000.0
4539,Evandro,18000.0,2100000.0,2082000.0
4540,Manu Morlanes,9000.0,4099999.9999999995,4090999.9999999995
4541,K. Großkreutz,6000.0,1800000.0,1794000.0
4542,T. Kessler,10000.0,1400000.0,1390000.0
4543,M. Beevers,8000.0,1900000.0,1892000.0
4544,D. Gastaldello,2000.0,550000.0,548000.0
4545,P. Faragò,18000.0,2900000.0,2882000.0
4546,C. Ramírez,2000.0,1800000.0,1798000.0
4547,I. Bennacer,7000.0,4000000.0,3993000.0
4548,O. Coulibaly,1000.0,1900000.0,1899000.0
4549,Alex Alegría,15000.0,3000000.0,2985000.0
4550,C. Adjapong,21000.0,3800000.0,3779000.0
4551,Dorado,8000.0,550000.0,542000.0
4552,J. Walters,33000.0,1200000.0,1167000.0
4553,A. De Sart,6000.0,3300000.0,3294000.0
4554,Luisinho Conradi,19000.0,1700000.0,1681000.0
4555,B. Özcan,15000.0,3400000.0,3385000.0
4556,P. Bamford,25000.0,3200000.0,3175000.0
4557,R. López,16000.0,2600000.0,2584000.0
4558,F. Monteseirín,9000.0,2800000.0,2791000.0
4559,A. Calabresi,15000.0,3000000.0,2985000.0
4560,J. Léa Siliki,17000.0,3800000.0,3783000.0
4561,J. De Sart,8000.0,2700000.0,2692000.0
4562,M. Sylla,13000.0,3100000.0,3087000.0
4563,K. Boli,9000.0,2400000.0,2391000.0
4564,D. Avdijaj,6000.0,3400000.0,3394000.0
4565,Nauzet,6000.0,1200000.0,1194000.0
4566,G. Molins,6000.0,2400000.0,2394000.0
4567,M. Hector,16000.0,2500000.0,2484000.0
4568,S. Andersson,21000.0,2800000.0,2779000.0
4569,F. Erpen,7000.0,550000.0,543000.0
4570,F. Meza,6000.0,2200000.0,2194000.0
4571,D. Lemos,10000.0,1800000.0,1790000.0
4572,Z. Kuzmanović,17000.0,2200000.0,2183000.0
4573,Lisandro Semedo,6000.0,3200000.0,3194000.0
4574,J. Prior,15000.0,2400000.0,2385000.0
4575,V. Salazar,11000.0,2600000.0,2589000.0
4576,A. Diomande,7000.0,2400000.0,2393000.0
4577,A. Niane,10000.0,2900000.0,2890000.0
4578,Stephen Eustáquio,5000.0,3800000.0,3795000.0
4579,W. Montoya,14000.0,3000000.0,2986000.0
4580,Kadu,14000.0,1600000.0,1586000.0
4581,D. Bentley,16000.0,2300000.0,2284000.0
4582,B. Drągowski,15000.0,3200000.0,3185000.0
4583,G. Mancini,13000.0,3200000.0,3187000.0
4584,T. Clarke,9000.0,1800000.0,1791000.0
4585,F. Boeckx,10000.0,1400000.0,1390000.0
4586,Adryan,17000.0,3200000.0,3183000.0
4587,M. Grüttner,9000.0,1900000.0,1891000.0
4588,J. Cevallos,9000.0,3200000.0,3191000.0
4589,L. Acosta,6000.0,2600000.0,2594000.0
4590,M. Guendouzi,20000.0,4000000.0,3980000.0
4591,F. Nita,1000.0,1500000.0,1499000.0
4592,P. Ebert,13000.0,2100000.0,2087000.0
4593,D. Marshall,13000.0,1200000.0,1187000.0
4594,K. Peterson,6000.0,3200000.0,3194000.0
4595,S. Lammers,8000.0,3700000.0,3692000.0
4596,A. King,38000.0,2300000.0,2262000.0
4597,P. Mwene,13000.0,2800000.0,2787000.0
4598,Andrei Girotto,15000.0,2400000.0,2385000.0
4599,Danilo Silva,15000.0,1600000.0,1585000.0
4600,B. Kuscevic,6000.0,3300000.0,3294000.0
4601,D. Sallói,5000.0,3700000.0,3695000.0
4602,Ukra,5000.0,2200000.0,2195000.0
4603,B. Acosta,4000.0,1600000.0,1596000.0
4604,Tramontinaldo,9000.0,675000.0,666000.0
4605,S. Hernández,3000.0,2100000.0,2097000.0
4606,L. Lacroix,17000.0,2600000.0,2583000.0
4607,A. Godoy,6000.0,2400000.0,2394000.0
4608,N. McGinn,6000.0,2200000.0,2194000.0
4609,T. Boyd,6000.0,3200000.0,3194000.0
4610,M. Eikrem,6000.0,2400000.0,2394000.0
4611,Kang Hyeon Mu,4000.0,2200000.0,2196000.0
4612,H. Toledo,9000.0,3200000.0,3191000.0
4613,M. Lacen,7000.0,725000.0,718000.0
4614,E. Adu,7000.0,2400000.0,2393000.0
4615,L. Antei,4000.0,2500000.0,2496000.0
4616,Adriano,9000.0,2300000.0,2291000.0
4617,N. Foor,10000.0,2800000.0,2790000.0
4618,C. Quintana,10000.0,1800000.0,1790000.0
4619,Ângelo Neto,5000.0,2500000.0,2495000.0
4620,A. Tinnerholm,5000.0,2200000.0,2195000.0
4621,V. Verre,18000.0,3100000.0,3082000.0
4622,I. Provedel,6000.0,2400000.0,2394000.0
4623,R. Herrera,18000.0,1800000.0,1782000.0
4624,J. Féret,4000.0,1000000.0,996000.0
4625,J. Attamah,12000.0,2500000.0,2488000.0
4626,Bremer,16000.0,3200000.0,3184000.0
4627,Dorca,5000.0,550000.0,545000.0
4628,Defendi,8000.0,1400000.0,1392000.0
4629,Jonas,21000.0,2300000.0,2279000.0
4630,P. Armero,2000.0,1600000.0,1598000.0
4631,H. Van Der Bruggen,9000.0,2900000.0,2891000.0
4632,L. Garritano,11000.0,3200000.0,3189000.0
4633,K. Balanta,2000.0,3800000.0,3798000.0
4634,Silvosinho,11000.0,675000.0,664000.0
4635,Tony Muttinho,13000.0,675000.0,662000.0
4636,D. Petratos,4000.0,3000000.0,2996000.0
4637,Manu Barreiro,7000.0,2100000.0,2093000.0
4638,R. Köse,7000.0,1500000.0,1493000.0
4639,Oier,7000.0,1400000.0,1393000.0
4640,N. Rimando,3000.0,160000.0,157000.0
4641,J. Arzura,12000.0,2600000.0,2588000.0
4642,S. Davis,6000.0,3100000.0,3094000.0
4643,Nacho Vidal,6000.0,2800000.0,2794000.0
4644,M. Samudio,7000.0,1600000.0,1593000.0
4645,M. Martin,12000.0,2200000.0,2188000.0
4646,F. Cubero,6000.0,160000.0,154000.0
4647,R. Baca,17000.0,2400000.0,2383000.0
4648,Ivo Pinto,17000.0,1900000.0,1883000.0
4649,S. Doukara,13000.0,2800000.0,2787000.0
4650,Y. Shakhov,1000.0,2500000.0,2499000.0
4651,O. Çek,9000.0,2200000.0,2191000.0
4652,O. Zinchenko,38000.0,3300000.0,3262000.0
4653,S. Limbombe,15000.0,2500000.0,2485000.0
4654,K. Galanopoulos,1000.0,4099999.9999999995,4098999.9999999995
4655,Feng Xiaoting,11000.0,1400000.0,1389000.0
4656,M. Jevtovic,9000.0,2700000.0,2691000.0
4657,Arroyo,6000.0,1800000.0,1794000.0
4658,Joel Pereira,35000.0,3200000.0,3165000.0
4659,Xavier,4000.0,2800000.0,2796000.0
4660,E. Remedi,5000.0,3000000.0,2995000.0
4661,L. Mareček,10000.0,2400000.0,2390000.0
4662,C. Martina,46000.0,1900000.0,1854000.0
4663,K. Sugimoto,6000.0,3000000.0,2994000.0
4664,A. Wilkinson,6000.0,950000.0,944000.0
4665,Mano,4000.0,1600000.0,1596000.0
4666,B. Rienstra,7000.0,2400000.0,2393000.0
4667,Z. Kalmár,0.0,0.0,0.0
4668,P. Aquino,14000.0,2700000.0,2686000.0
4669,R. Faty,13000.0,1600000.0,1587000.0
4670,M. te Wierik,6000.0,2500000.0,2494000.0
4671,J. Callsen-Bracker,14000.0,950000.0,936000.0
4672,J. Isijara,14000.0,2400000.0,2386000.0
4673,R. Torres,5000.0,1400000.0,1395000.0
4674,M. Çelik,12000.0,3700000.0,3688000.0
4675,B. Sharp,10000.0,1900000.0,1890000.0
4676,T. Tomiyasu,3000.0,3500000.0,3497000.0
4677,G. Thorne,23000.0,2600000.0,2577000.0
4678,O. Rashid,4000.0,2900000.0,2896000.0
4679,M. Al Owais,17000.0,2000000.0,1983000.0
4680,S. Palacios,18000.0,2800000.0,2782000.0
4681,D. Benlamri,20000.0,1900000.0,1880000.0
4682,O. Haddadi,9000.0,2400000.0,2391000.0
4683,N. Katić,20000.0,3800000.0,3780000.0
4684,S. Thern,5000.0,2900000.0,2895000.0
4685,N. Bitton,28000.0,2300000.0,2272000.0
4686,A. Søderlund,6000.0,2300000.0,2294000.0
4687,A. Ateef,20000.0,2500000.0,2480000.0
4688,E. García,18000.0,1900000.0,1882000.0
4689,Alexandre Guedes,7000.0,3200000.0,3193000.0
4690,R. Hilbert,7000.0,900000.0,893000.0
4691,Álvaro Lemos,7000.0,2400000.0,2393000.0
4692,Flávio,6000.0,2700000.0,2694000.0
4693,Pombaxinho,8000.0,725000.0,717000.0
4694,R. Sawyers,26000.0,2800000.0,2774000.0
4695,D. Lekić,8000.0,1500000.0,1492000.0
4696,N. Champagne,6000.0,1200000.0,1194000.0
4697,Fábio,15000.0,2000000.0,1985000.0
4698,Deivid,7000.0,1800000.0,1793000.0
4699,B. Hämäläinen,13000.0,1800000.0,1787000.0
4700,S. Dubarbier,7000.0,1300000.0,1293000.0
4701,L. Cavanda,10000.0,2000000.0,1990000.0
4702,Patrick,4000.0,2200000.0,2196000.0
4703,C. Cisneros,20000.0,3000000.0,2980000.0
4704,J. Brownhill,23000.0,3400000.0,3377000.0
4705,Heitinho Zanon,8000.0,725000.0,717000.0
4706,J. Bolingi,8000.0,3200000.0,3192000.0
4707,E. Conde,0.0,0.0,0.0
4708,T. Hemed,30000.0,2100000.0,2070000.0
4709,L. Krajnc,9000.0,2600000.0,2591000.0
4710,P. Terracciano,8000.0,1900000.0,1892000.0
4711,N. Pasquini,11000.0,2200000.0,2189000.0
4712,G. Acosta,9000.0,2300000.0,2291000.0
4713,Fernando Boldrin,10000.0,2300000.0,2290000.0
4714,Fidel,8000.0,2400000.0,2392000.0
4715,M. Rodriguez,3000.0,2500000.0,2497000.0
4716,K. Sema,27000.0,2900000.0,2873000.0
4717,Y. Candelo,4000.0,2500000.0,2496000.0
4718,R. García Guerreño,12000.0,1900000.0,1888000.0
4719,A. Maitland-Niles,38000.0,4500000.0,4462000.0
4720,Nathael Silbeira,13000.0,950000.0,937000.0
4721,Marco Rocha,3000.0,1400000.0,1397000.0
4722,S. Colombi,2000.0,1600000.0,1598000.0
4723,Unai Medina,7000.0,1900000.0,1893000.0
4724,Jair,4000.0,2300000.0,2296000.0
4725,J. Lynch,7000.0,1800000.0,1793000.0
4726,C. Fai,9000.0,2400000.0,2391000.0
4727,M. Rygaard,10000.0,2700000.0,2690000.0
4728,M. Djenepo,8000.0,4099999.9999999995,4091999.9999999995
4729,M. Männel,4000.0,1500000.0,1496000.0
4730,M. Dawson,27000.0,725000.0,698000.0
4731,Cristian López,17000.0,2400000.0,2383000.0
4732,A. Esiti,11000.0,2700000.0,2689000.0
4733,O. Govea,7000.0,3000000.0,2993000.0
4734,Eduardo Fonseira,11000.0,1500000.0,1489000.0
4735,R. Beerens,11000.0,2200000.0,2189000.0
4736,Sebas Coris,17000.0,3000000.0,2983000.0
4737,B. Róchez,8000.0,3200000.0,3192000.0
4738,Carlos Martínez,7000.0,1300000.0,1293000.0
4739,Cao Yunding,11000.0,2400000.0,2389000.0
4740,Eguaras,7000.0,2500000.0,2493000.0
4741,O. Pérez,8000.0,160000.0,152000.0
4742,J. Siebenhandl,11000.0,1900000.0,1889000.0
4743,A. Kolomeytsev,1000.0,1800000.0,1799000.0
4744,Crivellaro,9000.0,2300000.0,2291000.0
4745,L. Lollo,10000.0,2400000.0,2390000.0
4746,S. Maguire,10000.0,3400000.0,3390000.0
4747,Cafú,5000.0,2400000.0,2395000.0
4748,Zapater,7000.0,1400000.0,1393000.0
4749,J. Botaka,7000.0,2200000.0,2193000.0
4750,J. Böðvarsson,20000.0,2200000.0,2180000.0
4751,N. Sarenren Bazee,13000.0,2600000.0,2587000.0
4752,R. Bianco,3000.0,1600000.0,1597000.0
4753,O. Adın,10000.0,1400000.0,1390000.0
4754,A. Pešić,22000.0,2200000.0,2178000.0
4755,G. Hendrickx,7000.0,2100000.0,2093000.0
4756,J. Hochscheidt,5000.0,1600000.0,1595000.0
4757,J. Cabezas,5000.0,1500000.0,1495000.0
4758,Jony Reitosa,11000.0,1500000.0,1489000.0
4759,P. Šteinbors,3000.0,1000000.0,997000.0
4760,K. Çörekçi,15000.0,1800000.0,1785000.0
4761,J. Murphy,21000.0,2500000.0,2479000.0
4762,R. Gagliolo,21000.0,1400000.0,1379000.0
4763,D. Solanke,37000.0,3900000.0,3863000.0
4764,F. Sacko,5000.0,2000000.0,1995000.0
4765,J. Sýkora,1000.0,2400000.0,2399000.0
4766,D. de Buen,11000.0,1800000.0,1789000.0
4767,F. Veseli,7000.0,1900000.0,1893000.0
4768,A. González,4000.0,1800000.0,1796000.0
4769,D. John,12000.0,2200000.0,2188000.0
4770,D. Ousted,4000.0,900000.0,896000.0
4771,A. Preciado,11000.0,2300000.0,2289000.0
4772,Filipe Chaby,4000.0,2400000.0,2396000.0
4773,F. Torijano,3000.0,1400000.0,1397000.0
4774,J. Valenzuela,11000.0,550000.0,539000.0
4775,Barbosaldinho,9000.0,1300000.0,1291000.0
4776,Santi Comesaña,8000.0,2400000.0,2392000.0
4777,Luís Machado,7000.0,2100000.0,2093000.0
4778,Han Chan Hee,4000.0,2400000.0,2396000.0
4779,D. Geiger,13000.0,3900000.0,3887000.0
4780,F. Bradarić,15000.0,1900000.0,1885000.0
4781,L. Figueroa,2000.0,775000.0,773000.0
4782,K. Stuhr-Ellegaard,2000.0,425000.0,423000.0
4783,F. Zampano,3000.0,1900000.0,1897000.0
4784,U. Hünemeier,7000.0,1000000.0,993000.0
4785,A. Canelo,14000.0,2200000.0,2186000.0
4786,F. Ogier,4000.0,1400000.0,1396000.0
4787,Luiz Antônio,16000.0,1500000.0,1484000.0
4788,J. Maclaren,11000.0,2300000.0,2289000.0
4789,G. Þórarinsson,4000.0,2100000.0,2096000.0
4790,B. Leroy,4000.0,1400000.0,1396000.0
4791,M. Sampirisi,3000.0,1800000.0,1797000.0
4792,C. Higuita,4000.0,2100000.0,2096000.0
4793,Wilson Manafá,5000.0,2000000.0,1995000.0
4794,B. Barišić,23000.0,1800000.0,1777000.0
4795,João Lucas,3000.0,1900000.0,1897000.0
4796,V. Kadlec,1000.0,2200000.0,2199000.0
4797,S. Lundevall,4000.0,1700000.0,1696000.0
4798,Alberto Benito,6000.0,1800000.0,1794000.0
4799,H. Mendyl,10000.0,3000000.0,2990000.0
4800,J. Paintsil,7000.0,3100000.0,3093000.0
4801,T. Martínez,4000.0,2700000.0,2696000.0
4802,M. Thorsby,5000.0,2400000.0,2395000.0
4803,B. Berisha,8000.0,1400000.0,1392000.0
4804,Ramón Folch,7000.0,1800000.0,1793000.0
4805,S. Janko,6000.0,1900000.0,1894000.0
4806,Nano,12000.0,2500000.0,2488000.0
4807,C. Ganea,11000.0,1800000.0,1789000.0
4808,Braga,5000.0,750000.0,745000.0
4809,A. Hutton,10000.0,675000.0,665000.0
4810,G. Campi,9000.0,1800000.0,1791000.0
4811,De las Cuevas,6000.0,1300000.0,1294000.0
4812,A. Feick,7000.0,1300000.0,1293000.0
4813,Edson Farias,7000.0,2100000.0,2093000.0
4814,Lucas Possignolo,5000.0,2100000.0,2095000.0
4815,G. Makaridze,5000.0,1200000.0,1195000.0
4816,Kim Bo Kyung,7000.0,1800000.0,1793000.0
4817,M. Michel,4000.0,1500000.0,1496000.0
4818,O. Kemen,21000.0,2700000.0,2679000.0
4819,M. Saito,6000.0,1800000.0,1794000.0
4820,M. Kelemen,3000.0,120000.0,117000.0
4821,Lourival Dinisco,11000.0,1300000.0,1289000.0
4822,Jairo Farnias,11000.0,1100000.0,1089000.0
4823,P. Anton,0.0,0.0,0.0
4824,S. Popov,8000.0,1500000.0,1492000.0
4825,Y. Kakitani,6000.0,1800000.0,1794000.0
4826,E. Rolland,9000.0,1700000.0,1691000.0
4827,G. Suazo,4000.0,2900000.0,2896000.0
4828,E. Falkenburg,6000.0,1700000.0,1694000.0
4829,L. Landre,10000.0,1800000.0,1790000.0
4830,S. Vergini,10000.0,1400000.0,1390000.0
4831,Carlos Gutiérrez,6000.0,1700000.0,1694000.0
4832,J. Bokila,12000.0,1800000.0,1788000.0
4833,T. Kristensen,3000.0,425000.0,422000.0
4834,G. Bellusci,3000.0,1400000.0,1397000.0
4835,H. Nielsen,15000.0,2300000.0,2285000.0
4836,C. Ramirez,5000.0,2100000.0,2095000.0
4837,D. Cabrera,12000.0,1800000.0,1788000.0
4838,G. Mackay-Steven,5000.0,1900000.0,1895000.0
4839,F. Platte,11000.0,2500000.0,2489000.0
4840,P. Pentke,5000.0,900000.0,895000.0
4841,M. Liendl,8000.0,1300000.0,1292000.0
4842,F. Seymour,7000.0,1600000.0,1593000.0
4843,R. Ripart,10000.0,2200000.0,2190000.0
4844,Gerard Valentín,5000.0,2000000.0,1995000.0
4845,F. Schultz,7000.0,1900000.0,1893000.0
4846,L. Trałka,6000.0,550000.0,544000.0
4847,A. Dona Ndoh,5000.0,1400000.0,1395000.0
4848,M. Yattara,5000.0,2400000.0,2395000.0
4849,R. Nelson,25000.0,3700000.0,3675000.0
4850,M. Torrén,8000.0,1400000.0,1392000.0
